id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
6311,Kabupaten Balangan,Balangan,balangan-6311,6311,8,151,-2.364,115.471
6303,Kabupaten Banjar,Banjar,banjar-6303,6303,19,286,-3.409,114.848
6372,Kota Banjar Baru,Banjar Baru,banjar-baru-6372,6372,5,20,-3.439,114.831
6371,Kota Banjarmasin,Banjarmasin,banjarmasin-6371,6371,5,52,-3.327,114.589
6304,Kabupaten Barito Kuala,Barito Kuala,barito-kuala-6304,6304,17,199,-2.978,114.766
6306,Kabupaten Hulu Sungai Selatan,Hulu Sungai Selatan,hulu-sungai-selatan-6306,6306,11,148,-2.787,115.266
6307,Kabupaten Hulu Sungai Tengah,Hulu Sungai Tengah,hulu-sungai-tengah-6307,6307,11,165,-2.585,115.385
6308,Kabupaten Hulu Sungai Utara,Hulu Sungai Utara,hulu-sungai-utara-6308,6308,10,215,-2.419,115.254
6302,Kabupaten Kota Baru,Kota Baru,kota-baru-6302,6302,21,197,-3.236,116.228
6309,Kabupaten Tabalong,Tabalong,tabalong-6309,6309,12,129,-2.164,115.382
6310,Kabupaten Tanah Bumbu,Tanah Bumbu,tanah-bumbu-6310,6310,10,144,-3.483,115.947
6301,Kabupaten Tanah Laut,Tanah Laut,tanah-laut-6301,6301,11,133,-3.799,114.783
6305,Kabupaten Tapin,Tapin,tapin-6305,6305,12,132,-2.932,115.163
