id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
3304,Kabupaten Banjarnegara,Banjarnegara,banjarnegara-3304,3304,20,269,-7.396,109.696
3302,Kabupaten Banyumas,Banyumas,banyumas-3302,3302,27,314,-7.423,109.23
3325,Kabupaten Batang,Batang,batang-3325,3325,15,227,-6.911,109.73
3316,Kabupaten Blora,Blora,blora-3316,3316,16,269,-6.97,111.415
3309,Kabupaten Boyolali,Boyolali,boyolali-3309,3309,19,236,-7.546,110.611
3329,Kabupaten Brebes,Brebes,brebes-3329,3329,17,283,-6.87,109.039
3301,Kabupaten Cilacap,Cilacap,cilacap-3301,3301,24,275,-7.726,109.01
3321,Kabupaten Demak,Demak,demak-3321,3321,14,233,-6.891,110.638
3315,Kabupaten Grobogan,Grobogan,grobogan-3315,3315,19,257,-7.082,110.917
3320,Kabupaten Jepara,Jepara,jepara-3320,3320,16,179,-6.59,110.668
3313,Kabupaten Karanganyar,Karanganyar,karanganyar-3313,3313,17,162,-7.596,110.94
3305,Kabupaten Kebumen,Kebumen,kebumen-3305,3305,26,437,-7.668,109.654
3324,Kabupaten Kendal,Kendal,kendal-3324,3324,20,276,-6.923,110.204
3310,Kabupaten Klaten,Klaten,klaten-3310,3310,26,352,-7.712,110.592
3319,Kabupaten Kudus,Kudus,kudus-3319,3319,9,128,-6.806,110.842
3308,Kabupaten Magelang,Magelang,magelang-3308,3308,21,354,-7.597,110.224
3371,Kota Magelang,Magelang,magelang-3371,3371,3,17,-7.504,110.221
3318,Kabupaten Pati,Pati,pati-3318,3318,21,388,-6.752,111.04
3326,Kabupaten Pekalongan,Pekalongan,pekalongan-3326,3326,19,272,-7.025,109.591
3375,Kota Pekalongan,Pekalongan,pekalongan-3375,3375,4,27,-6.897,109.662
3327,Kabupaten Pemalang,Pemalang,pemalang-3327,3327,14,209,-6.893,109.381
3303,Kabupaten Purbalingga,Purbalingga,purbalingga-3303,3303,18,228,-7.389,109.364
3306,Kabupaten Purworejo,Purworejo,purworejo-3306,3306,16,465,-7.714,110.008
3317,Kabupaten Rembang,Rembang,rembang-3317,3317,14,271,-6.703,111.343
3373,Kota Salatiga,Salatiga,salatiga-3373,3373,4,21,-7.33,110.501
3322,Kabupaten Semarang,Semarang,semarang-3322,3322,19,211,-7.129,110.404
3374,Kota Semarang,Semarang,semarang-3374,3374,16,172,-6.982,110.412
3314,Kabupaten Sragen,Sragen,sragen-3314,3314,20,193,-7.426,111.023
3311,Kabupaten Sukoharjo,Sukoharjo,sukoharjo-3311,3311,12,150,-7.665,110.836
3372,Kota Surakarta,Surakarta,surakarta-3372,3372,5,46,-7.569,110.829
3328,Kabupaten Tegal,Tegal,tegal-3328,3328,18,270,-6.995,109.128
3376,Kota Tegal,Tegal,tegal-3376,3376,4,26,-6.87,109.137
3323,Kabupaten Temanggung,Temanggung,temanggung-3323,3323,20,265,-7.315,110.182
3312,Kabupaten Wonogiri,Wonogiri,wonogiri-3312,3312,25,275,-7.815,110.926
3307,Kabupaten Wonosobo,Wonosobo,wonosobo-3307,3307,15,251,-7.358,109.905
