id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
1408,Kabupaten Bengkalis,Bengkalis,bengkalis-1408,1408,11,155,0.805,102.02
1473,Kota D U M A I,D U M A I,d-u-m-a-i-1473,1473,7,33,1.667,101.4
1403,Kabupaten Indragiri Hilir,Indragiri Hilir,indragiri-hilir-1403,1403,20,236,1.473,102.113
1402,Kabupaten Indragiri Hulu,Indragiri Hulu,indragiri-hulu-1402,1402,14,194,-0.393,102.438
1406,Kabupaten Kampar,Kampar,kampar-1406,1406,21,250,0.9,100.307
1410,Kabupaten Kepulauan Meranti,Kepulauan Meranti,kepulauan-meranti-1410,1410,9,101,1.001,102.726
1401,Kabupaten Kuantan Singingi,Kuantan Singingi,kuantan-singingi-1401,1401,15,229,0.314,101.018
1471,Kota Pekanbaru,Pekanbaru,pekanbaru-1471,1471,12,83,0.513,101.447
1404,Kabupaten Pelalawan,Pelalawan,pelalawan-1404,1404,12,118,-0.315,103.158
1409,Kabupaten Rokan Hilir,Rokan Hilir,rokan-hilir-1409,1409,18,198,-0.505,101.538
1407,Kabupaten Rokan Hulu,Rokan Hulu,rokan-hulu-1407,1407,16,148,2.099,100.818
1405,Kabupaten S I A K,S I A K,s-i-a-k-1405,1405,14,131,0.384,101.842
