id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
7202,Kabupaten Banggai,Banggai,banggai-7202,7202,23,324,-1.395,120.755
7201,Kabupaten Banggai Kepulauan,Banggai Kepulauan,banggai-kepulauan-7201,7201,12,139,-0.994,122.789
7211,Kabupaten Banggai Laut,Banggai Laut,banggai-laut-7211,7211,7,65,-1.606,123.496
7207,Kabupaten Buol,Buol,buol-7207,7207,11,111,-1.312,123.298
7205,Kabupaten Donggala,Donggala,donggala-7205,7205,16,163,1.169,121.41
7203,Kabupaten Morowali,Morowali,morowali-7203,7203,9,125,-0.678,119.753
7212,Kabupaten Morowali Utara,Morowali Utara,morowali-utara-7212,7212,10,121,-1.977,121.336
7271,Kota Palu,Palu,palu-7271,7271,8,43,-0.9,119.891
7208,Kabupaten Parigi Moutong,Parigi Moutong,parigi-moutong-7208,7208,23,282,-0.805,120.16
7204,Kabupaten Poso,Poso,poso-7204,7204,19,163,1.018,120.798
7210,Kabupaten Sigi,Sigi,sigi-7210,7210,15,171,-1.047,119.95
7209,Kabupaten Tojo Una-una,Tojo Una-una,tojo-una-una-7209,7209,12,142,-0.915,121.589
7206,Kabupaten Toli-toli,Toli-toli,toli-toli-7206,7206,10,104,-2.481,121.934
