id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
1871,Kota Bandar Lampung,Bandar Lampung,bandar-lampung-1871,1871,20,125,-5.43,105.263
1801,Kabupaten Lampung Barat,Lampung Barat,lampung-barat-1801,1801,15,136,-5.718,105.585
1803,Kabupaten Lampung Selatan,Lampung Selatan,lampung-selatan-1803,1803,17,260,-4.829,104.887
1805,Kabupaten Lampung Tengah,Lampung Tengah,lampung-tengah-1805,1805,28,314,-4.495,105.22
1804,Kabupaten Lampung Timur,Lampung Timur,lampung-timur-1804,1804,24,264,-5.019,104.061
1806,Kabupaten Lampung Utara,Lampung Utara,lampung-utara-1806,1806,23,247,-5.481,104.682
1811,Kabupaten Mesuji,Mesuji,mesuji-1811,1811,7,105,-3.873,105.428
1872,Kota Metro,Metro,metro-1872,1872,5,22,-5.114,105.307
1809,Kabupaten Pesawaran,Pesawaran,pesawaran-1809,1809,11,144,-5.398,105.07
1813,Kabupaten Pesisir Barat,Pesisir Barat,pesisir-barat-1813,1813,11,118,-5.188,103.935
1810,Kabupaten Pringsewu,Pringsewu,pringsewu-1810,1810,9,131,-5.344,105.006
1802,Kabupaten Tanggamus,Tanggamus,tanggamus-1802,1802,20,302,-4.977,105.21
1812,Kabupaten Tulang Bawang Barat,Tulang Bawang Barat,tulang-bawang-barat-1812,1812,9,96,-4.499,105.12
1808,Kabupaten Tulangbawang,Tulangbawang,tulangbawang-1808,1808,15,151,-4.506,104.511
1807,Kabupaten Way Kanan,Way Kanan,way-kanan-1807,1807,14,227,-5.048,105.528
