id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
1208,Kabupaten Asahan,Asahan,asahan-1208,1208,25,204,2.965,98.862
1219,Kabupaten Batu Bara,Batu Bara,batu-bara-1219,1219,12,151,3.172,99.421
1276,Kota Binjai,Binjai,binjai-1276,1276,5,37,3.328,99.166
1210,Kabupaten Dairi,Dairi,dairi-1210,1210,15,169,2.07,99.857
1212,Kabupaten Deli Serdang,Deli Serdang,deli-serdang-1212,1212,22,394,2.332,99.051
1278,Kota Gunungsitoli,Gunungsitoli,gunungsitoli-1278,1278,6,101,1.283,97.613
1215,Kabupaten Humbang Hasundutan,Humbang Hasundutan,humbang-hasundutan-1215,1215,10,154,2.541,98.323
1211,Kabupaten Karo,Karo,karo-1211,1211,17,269,2.748,98.314
1207,Kabupaten Labuhan Batu,Labuhan Batu,labuhan-batu-1207,1207,9,98,3.551,98.866
1222,Kabupaten Labuhan Batu Selatan,Labuhan Batu Selatan,labuhan-batu-selatan-1222,1222,5,54,1.868,100.041
1223,Kabupaten Labuhan Batu Utara,Labuhan Batu Utara,labuhan-batu-utara-1223,1223,8,90,2.563,99.658
1213,Kabupaten Langkat,Langkat,langkat-1213,1213,23,277,0.797,99.579
1202,Kabupaten Mandailing Natal,Mandailing Natal,mandailing-natal-1202,1202,23,407,2.022,98.962
1275,Kota Medan,Medan,medan-1275,1275,21,151,3.603,98.483
1201,Kabupaten Nias,Nias,nias-1201,1201,10,170,1.685,98.828
1225,Kabupaten Nias Barat,Nias Barat,nias-barat-1225,1225,8,105,0.999,97.495
1214,Kabupaten Nias Selatan,Nias Selatan,nias-selatan-1214,1214,35,461,0.583,97.778
1224,Kabupaten Nias Utara,Nias Utara,nias-utara-1224,1224,11,113,1.389,97.381
1221,Kabupaten Padang Lawas,Padang Lawas,padang-lawas-1221,1221,12,304,1.056,99.776
1220,Kabupaten Padang Lawas Utara,Padang Lawas Utara,padang-lawas-utara-1220,1220,12,388,1.495,99.62
1277,Kota Padangsidimpuan,Padangsidimpuan,padangsidimpuan-1277,1277,6,79,1.378,99.271
1216,Kabupaten Pakpak Bharat,Pakpak Bharat,pakpak-bharat-1216,1216,8,52,2.25,98.79
1273,Kota Pematang Siantar,Pematang Siantar,pematang-siantar-1273,1273,8,53,1.746,98.776
1217,Kabupaten Samosir,Samosir,samosir-1217,1217,9,134,2.56,98.722
1218,Kabupaten Serdang Bedagai,Serdang Bedagai,serdang-bedagai-1218,1218,17,243,3.491,99.126
1271,Kota Sibolga,Sibolga,sibolga-1271,1271,4,17,3.59,98.675
1209,Kabupaten Simalungun,Simalungun,simalungun-1209,1209,31,402,2.988,99.613
1272,Kota Tanjung Balai,Tanjung Balai,tanjung-balai-1272,1272,6,31,2.956,99.062
1203,Kabupaten Tapanuli Selatan,Tapanuli Selatan,tapanuli-selatan-1203,1203,14,248,1.52,99.303
1204,Kabupaten Tapanuli Tengah,Tapanuli Tengah,tapanuli-tengah-1204,1204,20,215,1.242,97.65
1205,Kabupaten Tapanuli Utara,Tapanuli Utara,tapanuli-utara-1205,1205,15,252,3.743,98.448
1274,Kota Tebing Tinggi,Tebing Tinggi,tebing-tinggi-1274,1274,5,35,2.948,99.767
1206,Kabupaten Toba Samosir,Toba Samosir,toba-samosir-1206,1206,16,244,3.111,98.501
