id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
6102,Kabupaten Bengkayang,Bengkayang,bengkayang-6102,6102,17,120,0.351,108.962
6108,Kabupaten Kapuas Hulu,Kapuas Hulu,kapuas-hulu-6108,6108,23,273,0.375,109.938
6111,Kabupaten Kayong Utara,Kayong Utara,kayong-utara-6111,6111,6,43,-1.253,109.954
6106,Kabupaten Ketapang,Ketapang,ketapang-6106,6106,20,258,0.879,112.925
6112,Kabupaten Kubu Raya,Kubu Raya,kubu-raya-6112,6112,9,116,-0.127,109.404
6103,Kabupaten Landak,Landak,landak-6103,6103,13,149,0.123,110.596
6110,Kabupaten Melawi,Melawi,melawi-6110,6110,11,167,-0.377,111.764
6104,Kabupaten Mempawah,Mempawah,mempawah-6104,6104,9,64,-1.844,109.979
6171,Kota Pontianak,Pontianak,pontianak-6171,6171,6,29,-0.022,109.338
6101,Kabupaten Sambas,Sambas,sambas-6101,6101,19,184,1.361,109.329
6105,Kabupaten Sanggau,Sanggau,sanggau-6105,6105,15,163,0.079,111.495
6109,Kabupaten Sekadau,Sekadau,sekadau-6109,6109,7,83,0.007,110.955
6172,Kota Singkawang,Singkawang,singkawang-6172,6172,5,26,0.905,108.977
6107,Kabupaten Sintang,Sintang,sintang-6107,6107,14,398,0.869,109.497
