id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
7205130,Balaesang,Balaesang,balaesang-7205130,7205130,13,-0.016,119.877
7205131,Balaesang Tanjung,Balaesang Tanjung,balaesang-tanjung-7205131,7205131,8,-0.023,119.706
7205080,Banawa,Banawa,banawa-7205080,7205080,14,-0.735,119.756
7205081,Banawa Selatan,Banawa Selatan,banawa-selatan-7205081,7205081,18,-0.885,119.669
7205082,Banawa Tengah,Banawa Tengah,banawa-tengah-7205082,7205082,8,-0.761,119.716
7205140,Dampelas,Dampelas,dampelas-7205140,7205140,13,0.255,119.936
7205090,Labuan,Labuan,labuan-7205090,7205090,7,-0.62,119.906
7205051,Pinembani,Pinembani,pinembani-7205051,7205051,9,-1.093,119.689
7205041,Rio Pakava,Rio Pakava,rio-pakava-7205041,7205041,14,-1.299,119.611
7205100,Sindue,Sindue,sindue-7205100,7205100,12,-0.582,119.862
7205102,Sindue Tobata,Sindue Tobata,sindue-tobata-7205102,7205102,6,-0.37,119.845
7205101,Sindue Tombusabora,Sindue Tombusabora,sindue-tombusabora-7205101,7205101,6,-0.462,119.848
7205120,Sirenja,Sirenja,sirenja-7205120,7205120,12,-0.255,119.857
7205160,Sojol,Sojol,sojol-7205160,7205160,9,0.516,119.997
7205161,Sojol Utara,Sojol Utara,sojol-utara-7205161,7205161,4,0.683,120.118
7205091,Tanantovea,Tanantovea,tanantovea-7205091,7205091,10,-0.72,119.94
