id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
8171,Kota Ambon,Ambon,ambon-8171,8171,5,49,-3.694,128.181
8104,Kabupaten Buru,Buru,buru-8104,8104,10,81,-3.259,127.103
8109,Kabupaten Buru Selatan,Buru Selatan,buru-selatan-8109,8109,6,76,-3.838,126.734
8105,Kabupaten Kepulauan Aru,Kepulauan Aru,kepulauan-aru-8105,8105,10,113,-3.104,130.489
8108,Kabupaten Maluku Barat Daya,Maluku Barat Daya,maluku-barat-daya-8108,8108,17,109,-8.148,127.802
8103,Kabupaten Maluku Tengah,Maluku Tengah,maluku-tengah-8103,8103,18,186,-7.97,131.312
8102,Kabupaten Maluku Tenggara,Maluku Tenggara,maluku-tenggara-8102,8102,11,183,-5.683,132.717
8101,Kabupaten Maluku Tenggara Barat,Maluku Tenggara Barat,maluku-tenggara-barat-8101,8101,10,78,-3.304,128.954
8106,Kabupaten Seram Bagian Barat,Seram Bagian Barat,seram-bagian-barat-8106,8106,11,85,-3.067,128.23
8107,Kabupaten Seram Bagian Timur,Seram Bagian Timur,seram-bagian-timur-8107,8107,15,190,-5.775,134.215
8172,Kota Tual,Tual,tual-8172,8172,5,30,-5.635,132.752
