id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
5307,Kabupaten Alor,Alor,alor-5307,5307,17,168,-8.617,122.208
5306,Kabupaten Belu,Belu,belu-5306,5306,12,78,-8.326,123.003
5311,Kabupaten Ende,Ende,ende-5311,5311,21,273,-9.661,120.261
5309,Kabupaten Flores Timur,Flores Timur,flores-timur-5309,5309,19,246,-8.785,120.975
5303,Kabupaten Kupang,Kupang,kupang-5303,5303,24,171,-9.457,124.475
5371,Kota Kupang,Kupang,kupang-5371,5371,6,50,-10.154,123.619
5308,Kabupaten Lembata,Lembata,lembata-5308,5308,9,150,-8.843,121.662
5321,Kabupaten Malaka,Malaka,malaka-5321,5321,12,118,-9.445,124.918
5313,Kabupaten Manggarai,Manggarai,manggarai-5313,5313,12,161,-8.36,123.459
5315,Kabupaten Manggarai Barat,Manggarai Barat,manggarai-barat-5315,5315,10,162,-8.496,119.894
5319,Kabupaten Manggarai Timur,Manggarai Timur,manggarai-timur-5319,5319,9,173,-8.749,120.609
5318,Kabupaten Nagekeo,Nagekeo,nagekeo-5318,5318,7,110,-9.392,119.181
5312,Kabupaten Ngada,Ngada,ngada-5312,5312,12,146,-9.647,119.394
5314,Kabupaten Rote Ndao,Rote Ndao,rote-ndao-5314,5314,10,85,-10.758,123.063
5320,Kabupaten Sabu Raijua,Sabu Raijua,sabu-raijua-5320,5320,6,57,-10.453,121.878
5310,Kabupaten Sikka,Sikka,sikka-5310,5310,21,151,-8.611,120.464
5301,Kabupaten Sumba Barat,Sumba Barat,sumba-barat-5301,5301,6,73,-10.073,123.864
5317,Kabupaten Sumba Barat Daya,Sumba Barat Daya,sumba-barat-daya-5317,5317,11,175,-9.623,119.6
5316,Kabupaten Sumba Tengah,Sumba Tengah,sumba-tengah-5316,5316,5,65,-8.575,121.281
5302,Kabupaten Sumba Timur,Sumba Timur,sumba-timur-5302,5302,22,154,-9.852,124.266
5304,Kabupaten Timor Tengah Selatan,Timor Tengah Selatan,timor-tengah-selatan-5304,5304,32,255,-9.106,124.874
5305,Kabupaten Timor Tengah Utara,Timor Tengah Utara,timor-tengah-utara-5305,5305,24,181,-8.209,124.573
