id,name.local,name.en,name.slug,code.id,children_count.village,geo.lat,geo.lon
6204020,Dusun Hilir,Dusun Hilir,dusun-hilir-6204020,6204020,10,-2.274,114.751
6204040,Dusun Selatan,Dusun Selatan,dusun-selatan-6204040,6204040,26,-1.684,114.841
6204050,Dusun Utara,Dusun Utara,dusun-utara-6204050,6204050,19,-1.461,114.924
6204060,Gunung Bintang Awai,Gunung Bintang Awai,gunung-bintang-awai-6204060,6204060,21,-1.493,115.241
6204010,Jenamas,Jenamas,jenamas-6204010,6204010,7,-2.454,114.858
6204030,Karau Kuala,Karau Kuala,karau-kuala-6204030,6204030,10,-1.94,114.79
