id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
7172,Kota Bitung,Bitung,bitung-7172,7172,8,68,1.445,125.182
7101,Kabupaten Bolaang Mongondow,Bolaang Mongondow,bolaang-mongondow-7101,7101,15,200,0.871,124.024
7110,Kabupaten Bolaang Mongondow Selatan,Bolaang Mongondow Selatan,bolaang-mongondow-selatan-7110,7110,7,80,0.769,124.613
7111,Kabupaten Bolaang Mongondow Timur,Bolaang Mongondow Timur,bolaang-mongondow-timur-7111,7111,7,80,0.384,124.048
7107,Kabupaten Bolaang Mongondow Utara,Bolaang Mongondow Utara,bolaang-mongondow-utara-7107,7107,6,105,1.042,124.798
7103,Kabupaten Kepulauan Sangihe,Kepulauan Sangihe,kepulauan-sangihe-7103,7103,15,160,3.612,125.5
7104,Kabupaten Kepulauan Talaud,Kepulauan Talaud,kepulauan-talaud-7104,7104,19,145,4.006,126.682
7174,Kota Kotamobagu,Kotamobagu,kotamobagu-7174,7174,4,33,0.743,124.313
7171,Kota Manado,Manado,manado-7171,7171,11,87,1.485,124.849
7102,Kabupaten Minahasa,Minahasa,minahasa-7102,7102,25,262,1.301,124.911
7105,Kabupaten Minahasa Selatan,Minahasa Selatan,minahasa-selatan-7105,7105,17,172,1.213,124.597
7109,Kabupaten Minahasa Tenggara,Minahasa Tenggara,minahasa-tenggara-7109,7109,12,141,2.745,125.362
7106,Kabupaten Minahasa Utara,Minahasa Utara,minahasa-utara-7106,7106,10,123,1.459,124.975
7108,Kabupaten Siau Tagulandang Biaro,Siau Tagulandang Biaro,siau-tagulandang-biaro-7108,7108,10,90,0.906,123.259
7173,Kota Tomohon,Tomohon,tomohon-7173,7173,5,44,1.315,124.827
