id,name.local,name.en,name.slug,code.id,children_count.district,children_count.village,geo.lat,geo.lon
3526,Kabupaten Bangkalan,Bangkalan,bangkalan-3526,3526,18,260,-7.046,112.737
3510,Kabupaten Banyuwangi,Banyuwangi,banyuwangi-3510,3510,25,203,-8.223,114.366
3579,Kota Batu,Batu,batu-3579,3579,3,21,-7.863,112.513
3505,Kabupaten Blitar,Blitar,blitar-3505,3505,22,230,-8.124,112.213
3572,Kota Blitar,Blitar,blitar-3572,3572,3,19,-8.099,112.165
3522,Kabupaten Bojonegoro,Bojonegoro,bojonegoro-3522,3522,28,384,-7.15,111.882
3511,Kabupaten Bondowoso,Bondowoso,bondowoso-3511,3511,23,210,-7.914,113.822
3525,Kabupaten Gresik,Gresik,gresik-3525,3525,18,332,-7.171,112.6
3509,Kabupaten Jember,Jember,jember-3509,3509,31,235,-8.17,113.702
3517,Kabupaten Jombang,Jombang,jombang-3517,3517,21,290,-7.556,112.235
3506,Kabupaten Kediri,Kediri,kediri-3506,3506,26,300,-7.802,112.041
3571,Kota Kediri,Kediri,kediri-3571,3571,3,44,-7.812,112.014
3524,Kabupaten Lamongan,Lamongan,lamongan-3524,3524,27,439,-7.121,112.415
3508,Kabupaten Lumajang,Lumajang,lumajang-3508,3508,21,186,-8.135,113.224
3519,Kabupaten Madiun,Madiun,madiun-3519,3519,15,183,-7.539,111.653
3577,Kota Madiun,Madiun,madiun-3577,3577,3,24,-7.624,111.521
3520,Kabupaten Magetan,Magetan,magetan-3520,3520,18,206,-7.656,111.329
3507,Kabupaten Malang,Malang,malang-3507,3507,33,366,-8.105,112.573
3573,Kota Malang,Malang,malang-3573,3573,5,55,-7.978,112.634
3516,Kabupaten Mojokerto,Mojokerto,mojokerto-3516,3516,18,285,-7.463,112.433
3576,Kota Mojokerto,Mojokerto,mojokerto-3576,3576,3,17,-7.463,112.433
3518,Kabupaten Nganjuk,Nganjuk,nganjuk-3518,3518,20,240,-7.602,111.902
3521,Kabupaten Ngawi,Ngawi,ngawi-3521,3521,19,199,-7.401,111.445
3501,Kabupaten Pacitan,Pacitan,pacitan-3501,3501,12,153,-8.194,111.103
3528,Kabupaten Pamekasan,Pamekasan,pamekasan-3528,3528,13,175,-7.157,113.472
3514,Kabupaten Pasuruan,Pasuruan,pasuruan-3514,3514,24,344,-7.649,112.905
3575,Kota Pasuruan,Pasuruan,pasuruan-3575,3575,4,32,-7.647,112.909
3502,Kabupaten Ponorogo,Ponorogo,ponorogo-3502,3502,21,277,-7.871,111.463
3513,Kabupaten Probolinggo,Probolinggo,probolinggo-3513,3513,24,306,-7.762,113.416
3574,Kota Probolinggo,Probolinggo,probolinggo-3574,3574,5,29,-7.754,113.214
3527,Kabupaten Sampang,Sampang,sampang-3527,3527,14,178,-7.188,113.237
3515,Kabupaten Sidoarjo,Sidoarjo,sidoarjo-3515,3515,18,332,-7.447,112.718
3512,Kabupaten Situbondo,Situbondo,situbondo-3512,3512,17,132,-7.707,114.002
3529,Kabupaten Sumenep,Sumenep,sumenep-3529,3529,27,326,-7.014,113.864
3578,Kota Surabaya,Surabaya,surabaya-3578,3578,31,147,-7.259,112.747
3503,Kabupaten Trenggalek,Trenggalek,trenggalek-3503,3503,14,142,-8.048,111.709
3523,Kabupaten Tuban,Tuban,tuban-3523,3523,20,309,-6.896,112.065
3504,Kabupaten Tulungagung,Tulungagung,tulungagung-3504,3504,19,246,-8.064,111.901
